JOHN
time[s]       Fp1      Fp2       F7       F3       Fz       F4       F8       T3       C3       Cz       C4       T4       T5       P3       Pz       P4       T6       O1       O2      Ref     Drlv   Photic 
1.162 9854.000 9854.000 9854.000 9854.000 9854.000 9854.000 9854.000 9854.000 9854.000 9854.000 9854.000 9854.000 9854.000 9854.000 9854.000 9854.000 9854.000 9854.000 9854.000 9854.000 9854.000 -1.000
1.164 9973.000 9973.000 9973.000 9973.000 9973.000 9973.000 9973.000 9973.000 9973.000 9973.000 9973.000 9973.000 9973.000 9973.000 9973.000 9973.000 9973.000 9973.000 9973.000 9973.000 9973.000 -1.000
1.166 9997.000 9997.000 9997.000 9997.000 9997.000 9997.000 9997.000 9997.000 9997.000 9997.000 9997.000 9997.000 9997.000 9997.000 9997.000 9997.000 9997.000 9997.000 9997.000 9997.000 9997.000 -1.000
1.168 9925.000 9925.000 9925.000 9925.000 9925.000 9925.000 9925.000 9925.000 9925.000 9925.000 9925.000 9925.000 9925.000 9925.000 9925.000 9925.000 9925.000 9925.000 9925.000 9925.000 9925.000 -1.000
1.170 9757.000 9757.000 9757.000 9757.000 9757.000 9757.000 9757.000 9757.000 9757.000 9757.000 9757.000 9757.000 9757.000 9757.000 9757.000 9757.000 9757.000 9757.000 9757.000 9757.000 9757.000 -1.000
1.172 9496.000 9496.000 9496.000 9496.000 9496.000 9496.000 9496.000 9496.000 9496.000 9496.000 9496.000 9496.000 9496.000 9496.000 9496.000 9496.000 9496.000 9496.000 9496.000 9496.000 9496.000 -1.000
1.174 9143.000 9143.000 9143.000 9143.000 9143.000 9143.000 9143.000 9143.000 9143.000 9143.000 9143.000 9143.000 9143.000 9143.000 9143.000 9143.000 9143.000 9143.000 9143.000 9143.000 9143.000 -1.000
1.176 8703.000 8703.000 8703.000 8703.000 8703.000 8703.000 8703.000 8703.000 8703.000 8703.000 8703.000 8703.000 8703.000 8703.000 8703.000 8703.000 8703.000 8703.000 8703.000 8703.000 8703.000 -1.000
1.178 8180.000 8180.000 8180.000 8180.000 8180.000 8180.000 8180.000 8180.000 8180.000 8180.000 8180.000 8180.000 8180.000 8180.000 8180.000 8180.000 8180.000 8180.000 8180.000 8180.000 8180.000 -1.000
1.180 7577.000 7577.000 7577.000 7577.000 7577.000 7577.000 7577.000 7577.000 7577.000 7577.000 7577.000 7577.000 7577.000 7577.000 7577.000 7577.000 7577.000 7577.000 7577.000 7577.000 7577.000 -1.000
1.182 6902.000 6902.000 6902.000 6902.000 6902.000 6902.000 6902.000 6902.000 6902.000 6902.000 6902.000 6902.000 6902.000 6902.000 6902.000 6902.000 6902.000 6902.000 6902.000 6902.000 6902.000 -1.000
1.184 6161.000 6161.000 6161.000 6161.000 6161.000 6161.000 6161.000 6161.000 6161.000 6161.000 6161.000 6161.000 6161.000 6161.000 6161.000 6161.000 6161.000 6161.000 6161.000 6161.000 6161.000 -1.000
1.186 5361.000 5361.000 5361.000 5361.000 5361.000 5361.000 5361.000 5361.000 5361.000 5361.000 5361.000 5361.000 5361.000 5361.000 5361.000 5361.000 5361.000 5361.000 5361.000 5361.000 5361.000 -1.000
1.188 4509.000 4509.000 4509.000 4509.000 4509.000 4509.000 4509.000 4509.000 4509.000 4509.000 4509.000 4509.000 4509.000 4509.000 4509.000 4509.000 4509.000 4509.000 4509.000 4509.000 4509.000 -1.000
1.190 3614.000 3614.000 3614.000 3614.000 3614.000 3614.000 3614.000 3614.000 3614.000 3614.000 3614.000 3614.000 3614.000 3614.000 3614.000 3614.000 3614.000 3614.000 3614.000 3614.000 3614.000 -1.000
1.192 2684.000 2684.000 2684.000 2684.000 2684.000 2684.000 2684.000 2684.000 2684.000 2684.000 2684.000 2684.000 2684.000 2684.000 2684.000 2684.000 2684.000 2684.000 2684.000 2684.000 2684.000 -1.000
1.194 1728.000 1728.000 1728.000 1728.000 1728.000 1728.000 1728.000 1728.000 1728.000 1728.000 1728.000 1728.000 1728.000 1728.000 1728.000 1728.000 1728.000 1728.000 1728.000 1728.000 1728.000 -1.000
1.196 756.000 756.000 756.000 756.000 756.000 756.000 756.000 756.000 756.000 756.000 756.000 756.000 756.000 756.000 756.000 756.000 756.000 756.000 756.000 756.000 756.000 -1.000
1.198 -223.000 -223.000 -223.000 -223.000 -223.000 -223.000 -223.000 -223.000 -223.000 -223.000 -223.000 -223.000 -223.000 -223.000 -223.000 -223.000 -223.000 -223.000 -223.000 -223.000 -223.000 -1.000
1.200 -1201.000 -1201.000 -1201.000 -1201.000 -1201.000 -1201.000 -1201.000 -1201.000 -1201.000 -1201.000 -1201.000 -1201.000 -1201.000 -1201.000 -1201.000 -1201.000 -1201.000 -1201.000 -1201.000 -1201.000 -1201.000 -1.000
1.202 -2166.000 -2166.000 -2166.000 -2166.000 -2166.000 -2166.000 -2166.000 -2166.000 -2166.000 -2166.000 -2166.000 -2166.000 -2166.000 -2166.000 -2166.000 -2166.000 -2166.000 -2166.000 -2166.000 -2166.000 -2166.000 -1.000
1.204 -3111.000 -3111.000 -3111.000 -3111.000 -3111.000 -3111.000 -3111.000 -3111.000 -3111.000 -3111.000 -3111.000 -3111.000 -3111.000 -3111.000 -3111.000 -3111.000 -3111.000 -3111.000 -3111.000 -3111.000 -3111.000 -1.000
1.206 -4026.000 -4026.000 -4026.000 -4026.000 -4026.000 -4026.000 -4026.000 -4026.000 -4026.000 -4026.000 -4026.000 -4026.000 -4026.000 -4026.000 -4026.000 -4026.000 -4026.000 -4026.000 -4026.000 -4026.000 -4026.000 -1.000
1.208 -4903.000 -4903.000 -4903.000 -4903.000 -4903.000 -4903.000 -4903.000 -4903.000 -4903.000 -4903.000 -4903.000 -4903.000 -4903.000 -4903.000 -4903.000 -4903.000 -4903.000 -4903.000 -4903.000 -4903.000 -4903.000 -1.000
1.210 -5732.000 -5732.000 -5732.000 -5732.000 -5732.000 -5732.000 -5732.000 -5732.000 -5732.000 -5732.000 -5732.000 -5732.000 -5732.000 -5732.000 -5732.000 -5732.000 -5732.000 -5732.000 -5732.000 -5732.000 -5732.000 -1.000
1.212 -6507.000 -6507.000 -6507.000 -6507.000 -6507.000 -6507.000 -6507.000 -6507.000 -6507.000 -6507.000 -6507.000 -6507.000 -6507.000 -6507.000 -6507.000 -6507.000 -6507.000 -6507.000 -6507.000 -6507.000 -6507.000 -1.000
1.214 -7219.000 -7219.000 -7219.000 -7219.000 -7219.000 -7219.000 -7219.000 -7219.000 -7219.000 -7219.000 -7219.000 -7219.000 -7219.000 -7219.000 -7219.000 -7219.000 -7219.000 -7219.000 -7219.000 -7219.000 -7219.000 -1.000
1.216 -7861.000 -7861.000 -7861.000 -7861.000 -7861.000 -7861.000 -7861.000 -7861.000 -7861.000 -7861.000 -7861.000 -7861.000 -7861.000 -7861.000 -7861.000 -7861.000 -7861.000 -7861.000 -7861.000 -7861.000 -7861.000 -1.000
1.218 -8428.000 -8428.000 -8428.000 -8428.000 -8428.000 -8428.000 -8428.000 -8428.000 -8428.000 -8428.000 -8428.000 -8428.000 -8428.000 -8428.000 -8428.000 -8428.000 -8428.000 -8428.000 -8428.000 -8428.000 -8428.000 -1.000
1.220 -8914.000 -8914.000 -8914.000 -8914.000 -8914.000 -8914.000 -8914.000 -8914.000 -8914.000 -8914.000 -8914.000 -8914.000 -8914.000 -8914.000 -8914.000 -8914.000 -8914.000 -8914.000 -8914.000 -8914.000 -8914.000 -1.000
1.222 -9315.000 -9315.000 -9315.000 -9315.000 -9315.000 -9315.000 -9315.000 -9315.000 -9315.000 -9315.000 -9315.000 -9315.000 -9315.000 -9315.000 -9315.000 -9315.000 -9315.000 -9315.000 -9315.000 -9315.000 -9315.000 -1.000
1.224 -9626.000 -9626.000 -9626.000 -9626.000 -9626.000 -9626.000 -9626.000 -9626.000 -9626.000 -9626.000 -9626.000 -9626.000 -9626.000 -9626.000 -9626.000 -9626.000 -9626.000 -9626.000 -9626.000 -9626.000 -9626.000 -1.000
1.226 -9845.000 -9845.000 -9845.000 -9845.000 -9845.000 -9845.000 -9845.000 -9845.000 -9845.000 -9845.000 -9845.000 -9845.000 -9845.000 -9845.000 -9845.000 -9845.000 -9845.000 -9845.000 -9845.000 -9845.000 -9845.000 -1.000
1.228 -9969.000 -9969.000 -9969.000 -9969.000 -9969.000 -9969.000 -9969.000 -9969.000 -9969.000 -9969.000 -9969.000 -9969.000 -9969.000 -9969.000 -9969.000 -9969.000 -9969.000 -9969.000 -9969.000 -9969.000 -9969.000 -1.000
1.230 -9998.000 -9998.000 -9998.000 -9998.000 -9998.000 -9998.000 -9998.000 -9998.000 -9998.000 -9998.000 -9998.000 -9998.000 -9998.000 -9998.000 -9998.000 -9998.000 -9998.000 -9998.000 -9998.000 -9998.000 -9998.000 -1.000
1.232 -9931.000 -9931.000 -9931.000 -9931.000 -9931.000 -9931.000 -9931.000 -9931.000 -9931.000 -9931.000 -9931.000 -9931.000 -9931.000 -9931.000 -9931.000 -9931.000 -9931.000 -9931.000 -9931.000 -9931.000 -9931.000 -1.000
1.234 -9768.000 -9768.000 -9768.000 -9768.000 -9768.000 -9768.000 -9768.000 -9768.000 -9768.000 -9768.000 -9768.000 -9768.000 -9768.000 -9768.000 -9768.000 -9768.000 -9768.000 -9768.000 -9768.000 -9768.000 -9768.000 -1.000
1.236 -9511.000 -9511.000 -9511.000 -9511.000 -9511.000 -9511.000 -9511.000 -9511.000 -9511.000 -9511.000 -9511.000 -9511.000 -9511.000 -9511.000 -9511.000 -9511.000 -9511.000 -9511.000 -9511.000 -9511.000 -9511.000 -1.000
1.238 -9164.000 -9164.000 -9164.000 -9164.000 -9164.000 -9164.000 -9164.000 -9164.000 -9164.000 -9164.000 -9164.000 -9164.000 -9164.000 -9164.000 -9164.000 -9164.000 -9164.000 -9164.000 -9164.000 -9164.000 -9164.000 -1.000
1.240 -8728.000 -8728.000 -8728.000 -8728.000 -8728.000 -8728.000 -8728.000 -8728.000 -8728.000 -8728.000 -8728.000 -8728.000 -8728.000 -8728.000 -8728.000 -8728.000 -8728.000 -8728.000 -8728.000 -8728.000 -8728.000 -1.000
1.242 -8208.000 -8208.000 -8208.000 -8208.000 -8208.000 -8208.000 -8208.000 -8208.000 -8208.000 -8208.000 -8208.000 -8208.000 -8208.000 -8208.000 -8208.000 -8208.000 -8208.000 -8208.000 -8208.000 -8208.000 -8208.000 -1.000
1.244 -7610.000 -7610.000 -7610.000 -7610.000 -7610.000 -7610.000 -7610.000 -7610.000 -7610.000 -7610.000 -7610.000 -7610.000 -7610.000 -7610.000 -7610.000 -7610.000 -7610.000 -7610.000 -7610.000 -7610.000 -7610.000 -1.000
1.246 -6939.000 -6939.000 -6939.000 -6939.000 -6939.000 -6939.000 -6939.000 -6939.000 -6939.000 -6939.000 -6939.000 -6939.000 -6939.000 -6939.000 -6939.000 -6939.000 -6939.000 -6939.000 -6939.000 -6939.000 -6939.000 -1.000
1.248 -6201.000 -6201.000 -6201.000 -6201.000 -6201.000 -6201.000 -6201.000 -6201.000 -6201.000 -6201.000 -6201.000 -6201.000 -6201.000 -6201.000 -6201.000 -6201.000 -6201.000 -6201.000 -6201.000 -6201.000 -6201.000 -1.000
1.250 -5403.000 -5403.000 -5403.000 -5403.000 -5403.000 -5403.000 -5403.000 -5403.000 -5403.000 -5403.000 -5403.000 -5403.000 -5403.000 -5403.000 -5403.000 -5403.000 -5403.000 -5403.000 -5403.000 -5403.000 -5403.000 -1.000
1.252 -4554.000 -4554.000 -4554.000 -4554.000 -4554.000 -4554.000 -4554.000 -4554.000 -4554.000 -4554.000 -4554.000 -4554.000 -4554.000 -4554.000 -4554.000 -4554.000 -4554.000 -4554.000 -4554.000 -4554.000 -4554.000 -1.000
1.254 -3661.000 -3661.000 -3661.000 -3661.000 -3661.000 -3661.000 -3661.000 -3661.000 -3661.000 -3661.000 -3661.000 -3661.000 -3661.000 -3661.000 -3661.000 -3661.000 -3661.000 -3661.000 -3661.000 -3661.000 -3661.000 -1.000
1.256 -2732.000 -2732.000 -2732.000 -2732.000 -2732.000 -2732.000 -2732.000 -2732.000 -2732.000 -2732.000 -2732.000 -2732.000 -2732.000 -2732.000 -2732.000 -2732.000 -2732.000 -2732.000 -2732.000 -2732.000 -2732.000 -1.000
1.258 -1778.000 -1778.000 -1778.000 -1778.000 -1778.000 -1778.000 -1778.000 -1778.000 -1778.000 -1778.000 -1778.000 -1778.000 -1778.000 -1778.000 -1778.000 -1778.000 -1778.000 -1778.000 -1778.000 -1778.000 -1778.000 -1.000
1.260 -806.000 -806.000 -806.000 -806.000 -806.000 -806.000 -806.000 -806.000 -806.000 -806.000 -806.000 -806.000 -806.000 -806.000 -806.000 -806.000 -806.000 -806.000 -806.000 -806.000 -806.000 -1.000
1.262 173.000 173.000 173.000 173.000 173.000 173.000 173.000 173.000 173.000 173.000 173.000 173.000 173.000 173.000 173.000 173.000 173.000 173.000 173.000 173.000 173.000 -1.000
1.264 1151.000 1151.000 1151.000 1151.000 1151.000 1151.000 1151.000 1151.000 1151.000 1151.000 1151.000 1151.000 1151.000 1151.000 1151.000 1151.000 1151.000 1151.000 1151.000 1151.000 1151.000 -1.000
1.266 2117.000 2117.000 2117.000 2117.000 2117.000 2117.000 2117.000 2117.000 2117.000 2117.000 2117.000 2117.000 2117.000 2117.000 2117.000 2117.000 2117.000 2117.000 2117.000 2117.000 2117.000 -1.000
1.268 3064.000 3064.000 3064.000 3064.000 3064.000 3064.000 3064.000 3064.000 3064.000 3064.000 3064.000 3064.000 3064.000 3064.000 3064.000 3064.000 3064.000 3064.000 3064.000 3064.000 3064.000 -1.000
1.270 3980.000 3980.000 3980.000 3980.000 3980.000 3980.000 3980.000 3980.000 3980.000 3980.000 3980.000 3980.000 3980.000 3980.000 3980.000 3980.000 3980.000 3980.000 3980.000 3980.000 3980.000 -1.000
1.272 4859.000 4859.000 4859.000 4859.000 4859.000 4859.000 4859.000 4859.000 4859.000 4859.000 4859.000 4859.000 4859.000 4859.000 4859.000 4859.000 4859.000 4859.000 4859.000 4859.000 4859.000 -1.000
1.274 5691.000 5691.000 5691.000 5691.000 5691.000 5691.000 5691.000 5691.000 5691.000 5691.000 5691.000 5691.000 5691.000 5691.000 5691.000 5691.000 5691.000 5691.000 5691.000 5691.000 5691.000 -1.000
1.276 6468.000 6468.000 6468.000 6468.000 6468.000 6468.000 6468.000 6468.000 6468.000 6468.000 6468.000 6468.000 6468.000 6468.000 6468.000 6468.000 6468.000 6468.000 6468.000 6468.000 6468.000 -1.000
1.278 7184.000 7184.000 7184.000 7184.000 7184.000 7184.000 7184.000 7184.000 7184.000 7184.000 7184.000 7184.000 7184.000 7184.000 7184.000 7184.000 7184.000 7184.000 7184.000 7184.000 7184.000 -1.000
1.280 7830.000 7830.000 7830.000 7830.000 7830.000 7830.000 7830.000 7830.000 7830.000 7830.000 7830.000 7830.000 7830.000 7830.000 7830.000 7830.000 7830.000 7830.000 7830.000 7830.000 7830.000 -1.000
1.282 8401.000 8401.000 8401.000 8401.000 8401.000 8401.000 8401.000 8401.000 8401.000 8401.000 8401.000 8401.000 8401.000 8401.000 8401.000 8401.000 8401.000 8401.000 8401.000 8401.000 8401.000 -1.000
1.284 8892.000 8892.000 8892.000 8892.000 8892.000 8892.000 8892.000 8892.000 8892.000 8892.000 8892.000 8892.000 8892.000 8892.000 8892.000 8892.000 8892.000 8892.000 8892.000 8892.000 8892.000 -1.000
1.286 9297.000 9297.000 9297.000 9297.000 9297.000 9297.000 9297.000 9297.000 9297.000 9297.000 9297.000 9297.000 9297.000 9297.000 9297.000 9297.000 9297.000 9297.000 9297.000 9297.000 9297.000 -1.000
1.288 9613.000 9613.000 9613.000 9613.000 9613.000 9613.000 9613.000 9613.000 9613.000 9613.000 9613.000 9613.000 9613.000 9613.000 9613.000 9613.000 9613.000 9613.000 9613.000 9613.000 9613.000 -1.000
1.290 9836.000 9836.000 9836.000 9836.000 9836.000 9836.000 9836.000 9836.000 9836.000 9836.000 9836.000 9836.000 9836.000 9836.000 9836.000 9836.000 9836.000 9836.000 9836.000 9836.000 9836.000 -1.000
1.292 9965.000 9965.000 9965.000 9965.000 9965.000 9965.000 9965.000 9965.000 9965.000 9965.000 9965.000 9965.000 9965.000 9965.000 9965.000 9965.000 9965.000 9965.000 9965.000 9965.000 9965.000 -1.000
1.294 9999.000 9999.000 9999.000 9999.000 9999.000 9999.000 9999.000 9999.000 9999.000 9999.000 9999.000 9999.000 9999.000 9999.000 9999.000 9999.000 9999.000 9999.000 9999.000 9999.000 9999.000 -1.000
1.296 9936.000 9936.000 9936.000 9936.000 9936.000 9936.000 9936.000 9936.000 9936.000 9936.000 9936.000 9936.000 9936.000 9936.000 9936.000 9936.000 9936.000 9936.000 9936.000 9936.000 9936.000 -1.000
1.298 9779.000 9779.000 9779.000 9779.000 9779.000 9779.000 9779.000 9779.000 9779.000 9779.000 9779.000 9779.000 9779.000 9779.000 9779.000 9779.000 9779.000 9779.000 9779.000 9779.000 9779.000 -1.000
1.300 9527.000 9527.000 9527.000 9527.000 9527.000 9527.000 9527.000 9527.000 9527.000 9527.000 9527.000 9527.000 9527.000 9527.000 9527.000 9527.000 9527.000 9527.000 9527.000 9527.000 9527.000 -1.000
1.302 9184.000 9184.000 9184.000 9184.000 9184.000 9184.000 9184.000 9184.000 9184.000 9184.000 9184.000 9184.000 9184.000 9184.000 9184.000 9184.000 9184.000 9184.000 9184.000 9184.000 9184.000 -1.000
1.304 8752.000 8752.000 8752.000 8752.000 8752.000 8752.000 8752.000 8752.000 8752.000 8752.000 8752.000 8752.000 8752.000 8752.000 8752.000 8752.000 8752.000 8752.000 8752.000 8752.000 8752.000 -1.000
1.306 8237.000 8237.000 8237.000 8237.000 8237.000 8237.000 8237.000 8237.000 8237.000 8237.000 8237.000 8237.000 8237.000 8237.000 8237.000 8237.000 8237.000 8237.000 8237.000 8237.000 8237.000 -1.000
1.308 7642.000 7642.000 7642.000 7642.000 7642.000 7642.000 7642.000 7642.000 7642.000 7642.000 7642.000 7642.000 7642.000 7642.000 7642.000 7642.000 7642.000 7642.000 7642.000 7642.000 7642.000 -1.000
1.310 6975.000 6975.000 6975.000 6975.000 6975.000 6975.000 6975.000 6975.000 6975.000 6975.000 6975.000 6975.000 6975.000 6975.000 6975.000 6975.000 6975.000 6975.000 6975.000 6975.000 6975.000 -1.000
1.312 6240.000 6240.000 6240.000 6240.000 6240.000 6240.000 6240.000 6240.000 6240.000 6240.000 6240.000 6240.000 6240.000 6240.000 6240.000 6240.000 6240.000 6240.000 6240.000 6240.000 6240.000 -1.000
1.314 5445.000 5445.000 5445.000 5445.000 5445.000 5445.000 5445.000 5445.000 5445.000 5445.000 5445.000 5445.000 5445.000 5445.000 5445.000 5445.000 5445.000 5445.000 5445.000 5445.000 5445.000 -1.000
1.316 4598.000 4598.000 4598.000 4598.000 4598.000 4598.000 4598.000 4598.000 4598.000 4598.000 4598.000 4598.000 4598.000 4598.000 4598.000 4598.000 4598.000 4598.000 4598.000 4598.000 4598.000 -1.000
1.318 3707.000 3707.000 3707.000 3707.000 3707.000 3707.000 3707.000 3707.000 3707.000 3707.000 3707.000 3707.000 3707.000 3707.000 3707.000 3707.000 3707.000 3707.000 3707.000 3707.000 3707.000 -1.000
1.320 2781.000 2781.000 2781.000 2781.000 2781.000 2781.000 2781.000 2781.000 2781.000 2781.000 2781.000 2781.000 2781.000 2781.000 2781.000 2781.000 2781.000 2781.000 2781.000 2781.000 2781.000 -1.000
1.322 1827.000 1827.000 1827.000 1827.000 1827.000 1827.000 1827.000 1827.000 1827.000 1827.000 1827.000 1827.000 1827.000 1827.000 1827.000 1827.000 1827.000 1827.000 1827.000 1827.000 1827.000 -1.000
1.324 856.000 856.000 856.000 856.000 856.000 856.000 856.000 856.000 856.000 856.000 856.000 856.000 856.000 856.000 856.000 856.000 856.000 856.000 856.000 856.000 856.000 -1.000
1.326 -123.000 -123.000 -123.000 -123.000 -123.000 -123.000 -123.000 -123.000 -123.000 -123.000 -123.000 -123.000 -123.000 -123.000 -123.000 -123.000 -123.000 -123.000 -123.000 -123.000 -123.000 -1.000
1.328 -1101.000 -1101.000 -1101.000 -1101.000 -1101.000 -1101.000 -1101.000 -1101.000 -1101.000 -1101.000 -1101.000 -1101.000 -1101.000 -1101.000 -1101.000 -1101.000 -1101.000 -1101.000 -1101.000 -1101.000 -1101.000 -1.000
1.330 -2068.000 -2068.000 -2068.000 -2068.000 -2068.000 -2068.000 -2068.000 -2068.000 -2068.000 -2068.000 -2068.000 -2068.000 -2068.000 -2068.000 -2068.000 -2068.000 -2068.000 -2068.000 -2068.000 -2068.000 -2068.000 -1.000
1.332 -3016.000 -3016.000 -3016.000 -3016.000 -3016.000 -3016.000 -3016.000 -3016.000 -3016.000 -3016.000 -3016.000 -3016.000 -3016.000 -3016.000 -3016.000 -3016.000 -3016.000 -3016.000 -3016.000 -3016.000 -3016.000 -1.000
1.334 -3934.000 -3934.000 -3934.000 -3934.000 -3934.000 -3934.000 -3934.000 -3934.000 -3934.000 -3934.000 -3934.000 -3934.000 -3934.000 -3934.000 -3934.000 -3934.000 -3934.000 -3934.000 -3934.000 -3934.000 -3934.000 -1.000
1.336 -4815.000 -4815.000 -4815.000 -4815.000 -4815.000 -4815.000 -4815.000 -4815.000 -4815.000 -4815.000 -4815.000 -4815.000 -4815.000 -4815.000 -4815.000 -4815.000 -4815.000 -4815.000 -4815.000 -4815.000 -4815.000 -1.000
1.338 -5650.000 -5650.000 -5650.000 -5650.000 -5650.000 -5650.000 -5650.000 -5650.000 -5650.000 -5650.000 -5650.000 -5650.000 -5650.000 -5650.000 -5650.000 -5650.000 -5650.000 -5650.000 -5650.000 -5650.000 -5650.000 -1.000
1.340 -6430.000 -6430.000 -6430.000 -6430.000 -6430.000 -6430.000 -6430.000 -6430.000 -6430.000 -6430.000 -6430.000 -6430.000 -6430.000 -6430.000 -6430.000 -6430.000 -6430.000 -6430.000 -6430.000 -6430.000 -6430.000 -1.000
1.342 -7149.000 -7149.000 -7149.000 -7149.000 -7149.000 -7149.000 -7149.000 -7149.000 -7149.000 -7149.000 -7149.000 -7149.000 -7149.000 -7149.000 -7149.000 -7149.000 -7149.000 -7149.000 -7149.000 -7149.000 -7149.000 -1.000
1.344 -7799.000 -7799.000 -7799.000 -7799.000 -7799.000 -7799.000 -7799.000 -7799.000 -7799.000 -7799.000 -7799.000 -7799.000 -7799.000 -7799.000 -7799.000 -7799.000 -7799.000 -7799.000 -7799.000 -7799.000 -7799.000 -1.000
1.346 -8374.000 -8374.000 -8374.000 -8374.000 -8374.000 -8374.000 -8374.000 -8374.000 -8374.000 -8374.000 -8374.000 -8374.000 -8374.000 -8374.000 -8374.000 -8374.000 -8374.000 -8374.000 -8374.000 -8374.000 -8374.000 -1.000
1.348 -8868.000 -8868.000 -8868.000 -8868.000 -8868.000 -8868.000 -8868.000 -8868.000 -8868.000 -8868.000 -8868.000 -8868.000 -8868.000 -8868.000 -8868.000 -8868.000 -8868.000 -8868.000 -8868.000 -8868.000 -8868.000 -1.000
1.350 -9278.000 -9278.000 -9278.000 -9278.000 -9278.000 -9278.000 -9278.000 -9278.000 -9278.000 -9278.000 -9278.000 -9278.000 -9278.000 -9278.000 -9278.000 -9278.000 -9278.000 -9278.000 -9278.000 -9278.000 -9278.000 -1.000
1.352 -9599.000 -9599.000 -9599.000 -9599.000 -9599.000 -9599.000 -9599.000 -9599.000 -9599.000 -9599.000 -9599.000 -9599.000 -9599.000 -9599.000 -9599.000 -9599.000 -9599.000 -9599.000 -9599.000 -9599.000 -9599.000 -1.000
1.354 -9827.000 -9827.000 -9827.000 -9827.000 -9827.000 -9827.000 -9827.000 -9827.000 -9827.000 -9827.000 -9827.000 -9827.000 -9827.000 -9827.000 -9827.000 -9827.000 -9827.000 -9827.000 -9827.000 -9827.000 -9827.000 -1.000
1.356 -9961.000 -9961.000 -9961.000 -9961.000 -9961.000 -9961.000 -9961.000 -9961.000 -9961.000 -9961.000 -9961.000 -9961.000 -9961.000 -9961.000 -9961.000 -9961.000 -9961.000 -9961.000 -9961.000 -9961.000 -9961.000 -1.000
1.358 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -1.000
1.360 -9942.000 -9942.000 -9942.000 -9942.000 -9942.000 -9942.000 -9942.000 -9942.000 -9942.000 -9942.000 -9942.000 -9942.000 -9942.000 -9942.000 -9942.000 -9942.000 -9942.000 -9942.000 -9942.000 -9942.000 -9942.000 -1.000
1.362 -9789.000 -9789.000 -9789.000 -9789.000 -9789.000 -9789.000 -9789.000 -9789.000 -9789.000 -9789.000 -9789.000 -9789.000 -9789.000 -9789.000 -9789.000 -9789.000 -9789.000 -9789.000 -9789.000 -9789.000 -9789.000 -1.000
1.364 -9542.000 -9542.000 -9542.000 -9542.000 -9542.000 -9542.000 -9542.000 -9542.000 -9542.000 -9542.000 -9542.000 -9542.000 -9542.000 -9542.000 -9542.000 -9542.000 -9542.000 -9542.000 -9542.000 -9542.000 -9542.000 -1.000
1.366 -9203.000 -9203.000 -9203.000 -9203.000 -9203.000 -9203.000 -9203.000 -9203.000 -9203.000 -9203.000 -9203.000 -9203.000 -9203.000 -9203.000 -9203.000 -9203.000 -9203.000 -9203.000 -9203.000 -9203.000 -9203.000 -1.000
1.368 -8777.000 -8777.000 -8777.000 -8777.000 -8777.000 -8777.000 -8777.000 -8777.000 -8777.000 -8777.000 -8777.000 -8777.000 -8777.000 -8777.000 -8777.000 -8777.000 -8777.000 -8777.000 -8777.000 -8777.000 -8777.000 -1.000
1.370 -8265.000 -8265.000 -8265.000 -8265.000 -8265.000 -8265.000 -8265.000 -8265.000 -8265.000 -8265.000 -8265.000 -8265.000 -8265.000 -8265.000 -8265.000 -8265.000 -8265.000 -8265.000 -8265.000 -8265.000 -8265.000 -1.000
1.372 -7675.000 -7675.000 -7675.000 -7675.000 -7675.000 -7675.000 -7675.000 -7675.000 -7675.000 -7675.000 -7675.000 -7675.000 -7675.000 -7675.000 -7675.000 -7675.000 -7675.000 -7675.000 -7675.000 -7675.000 -7675.000 -1.000
1.374 -7011.000 -7011.000 -7011.000 -7011.000 -7011.000 -7011.000 -7011.000 -7011.000 -7011.000 -7011.000 -7011.000 -7011.000 -7011.000 -7011.000 -7011.000 -7011.000 -7011.000 -7011.000 -7011.000 -7011.000 -7011.000 -1.000
1.376 -6279.000 -6279.000 -6279.000 -6279.000 -6279.000 -6279.000 -6279.000 -6279.000 -6279.000 -6279.000 -6279.000 -6279.000 -6279.000 -6279.000 -6279.000 -6279.000 -6279.000 -6279.000 -6279.000 -6279.000 -6279.000 -1.000
1.378 -5487.000 -5487.000 -5487.000 -5487.000 -5487.000 -5487.000 -5487.000 -5487.000 -5487.000 -5487.000 -5487.000 -5487.000 -5487.000 -5487.000 -5487.000 -5487.000 -5487.000 -5487.000 -5487.000 -5487.000 -5487.000 -1.000
1.380 -4643.000 -4643.000 -4643.000 -4643.000 -4643.000 -4643.000 -4643.000 -4643.000 -4643.000 -4643.000 -4643.000 -4643.000 -4643.000 -4643.000 -4643.000 -4643.000 -4643.000 -4643.000 -4643.000 -4643.000 -4643.000 -1.000
1.382 -3754.000 -3754.000 -3754.000 -3754.000 -3754.000 -3754.000 -3754.000 -3754.000 -3754.000 -3754.000 -3754.000 -3754.000 -3754.000 -3754.000 -3754.000 -3754.000 -3754.000 -3754.000 -3754.000 -3754.000 -3754.000 -1.000
